series,gsm,patient,histology,module,spots,assayed_fraction,eligible,mean_log1p_norm10000,mean_norm10000,coordinates_available
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_G2M_CHECKPOINT,3949,0.945,True,0.2839448918351157,0.4784975322662622,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_GLYCOLYSIS,3949,0.955,True,0.3800012152151604,0.8701385877624755,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_HYPOXIA,3949,0.975,True,0.5630650304702052,1.502920434861027,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_IL6_JAK_STAT3_SIGNALING,3949,0.9885057471264368,True,0.4966016167100839,1.8851230511868808,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_INFLAMMATORY_RESPONSE,3949,0.99,True,0.3812129108703452,0.7582401243394961,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_INTERFERON_GAMMA_RESPONSE,3949,0.94,True,0.5328638329719823,1.449267283173722,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,3949,0.93,True,0.5306354531408203,0.936595985650272,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_P53_PATHWAY,3949,0.95,True,0.5131536497132552,1.1722684245122714,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_TGF_BETA_SIGNALING,3949,0.9814814814814816,True,0.6649115428034127,1.387876317795996,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_TNFA_SIGNALING_VIA_NFKB,3949,0.98,True,0.5963914019927572,1.4953411731553787,False
GSE267226,GSM8262703,GSM8262703,COVID3,HALLMARK_WNT_BETA_CATENIN_SIGNALING,3949,0.9761904761904762,True,0.3290185473048959,0.526464039922265,False
GSE267226,GSM8262703,GSM8262703,COVID3,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,3949,0.98,True,0.6533109728716776,3.321277006369721,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IL1B,3949,1.0,True,0.0335575292282839,0.042258694532952,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IL1A,3949,1.0,True,0.0165410385364034,0.0207251314562484,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IL1R1,3949,1.0,True,1.4250314082143287,3.701747350349722,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IL1RAP,3949,1.0,True,0.2683032197360937,0.3733725093893891,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IL1RN,3949,1.0,True,0.1578345213790702,0.2642791156367769,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IL1R2,3949,1.0,True,0.126916599074239,0.1755808511699251,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_SIGIRR,3949,1.0,True,0.415956623860591,0.6193338604739456,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_TGFB1,3949,1.0,True,0.3331606010685199,0.4727769988814527,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_CCL2,3949,1.0,True,0.2881498020292893,0.4347414652065277,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_CXCL12,3949,1.0,True,1.5332631391219882,4.75339398026755,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_AREG,3949,1.0,True,0.3857374541688647,0.5808200460390529,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_HBEGF,3949,1.0,True,0.1992550412700514,0.2743996174530549,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_FGF7,3949,1.0,True,1.1172131482964918,2.6998161007706005,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_FGF10,3949,1.0,True,0.0706009981883413,0.09797275680659,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_COL1A1,3949,1.0,True,3.69627811888952,89.06598717520573,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_C1QA,3949,1.0,True,1.676429254935936,5.401182750588078,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_KRT8,3949,1.0,True,0.769611059687423,1.945710799764332,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_KRT5,3949,1.0,True,0.1152937602371921,0.2767995907688492,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_KRT17,3949,1.0,True,0.2570462938156204,0.6327608134742856,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_CLDN4,3949,1.0,True,0.3131525274194526,0.5103465161923292,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_SFTPC,3949,1.0,True,3.0931454087200008,82.54052769344676,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_AGER,3949,1.0,True,0.7335734666188279,1.9403765308161351,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_AQP5,3949,1.0,True,0.12083817300467,0.1998919208577876,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_CD3D,3949,1.0,True,0.1049840834306838,0.1391123674135111,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_CD8A,3949,1.0,True,0.1037309249077708,0.1388177919686889,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_TNF,3949,1.0,True,0.0147358623540815,0.018959920336419,False
GSE267226,GSM8262703,GSM8262703,COVID3,GENE_IFNG,3949,1.0,True,0.012260089944129,0.0160527212389293,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_E2F_TARGETS,3266,0.955,True,0.2296493597785744,0.4604463356982918,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_G2M_CHECKPOINT,3266,0.945,True,0.2635119190430187,0.5494322612076664,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_GLYCOLYSIS,3266,0.955,True,0.3334094117657173,0.7550076858154638,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_HYPOXIA,3266,0.975,True,0.5358480750235415,1.5405329780951835,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_IL6_JAK_STAT3_SIGNALING,3266,0.9885057471264368,True,0.4415338138805321,1.4192184744881835,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_INFLAMMATORY_RESPONSE,3266,0.99,True,0.334888098894591,0.7745087695051314,False
GSE267226,GSM8262704,GSM8262704,Control1,HALLMARK_INTERFERON_GAMMA_RESPONSE,3266,0.94,True,0.4144172760060452,0.9998844839925644,False
